name
Marion Patrick Jones
Marion Tournon-Branly
Marisol Escobar
Marita Lindquist
Marjet Ockels
Marjorie Peters
Marjorie Pizer
Mark B
Mark Dvoretsky
Mark Farmer (actor)
Mark Farren
Mark Lane (author)
Mark Ouma
Mark Ricks
Mark Takai
Mark Young (wrestler)
Markand Bhatt
Markus Werner
Marlow Cook
Marni Nixon
Martha Ehlin
Martha Seim Valeur
Martha Wright (actress)
Martin Crowe
Martin Fitzmaurice
Martin Gray (writer)
Martin Jensen (triple jumper)
Martin Lampkin
Martin Lavut
Martin Lundström
Martin Olav Sabo
Martin Roberts (rugby player)
Martin Szipál
Marto Gracias
Márton Balázs
Martyn Quayle
Marvin Kaplan
Marvin Minsky
Marvin Mottet
Marwan Dudin
Mary A. McClure
Mary Dodson
Mary Feik
Mary Grant (politician)
Mary Lou Crocker
Masako Togawa
Masanobu Deme
Massimo Felisatti
Mathew Mattam
Matilda Rapaport
Matt Gray
Matt Hobden
Matt Irwin (photographer)
Matt Suderman
Matt Villines
"Matthew Evans, Baron Evans of Temple Guiting"
Matthias Joseph Isuja
Matthiew Klinck
Matti Pulli
Maurice G. Dantec
Maurice Kenny
"Maurice Peston, Baron Peston"
Maurice White
Mauricio Walerstein
Mauril Bélanger
Max Gruenberg
Max Mannheimer
Max Murray
Max Nijman
Max Walker
Maxime Camara
Máximo Mosquera
Maxon Mbendera
Maycie Herrington
Mbaye-Jacques Diop
Medea Jugeli
Medi Dinu
Meg Mundy
Mehrdad Oladi
Mei Baojiu
Meir Dagan
Mel Charles
Mel Durslag
Mel George
Mel Hurtig
Mel Slack
Melania Ursu
Mell Lazarus
Melvin Day
Melvin Dwork
Melvyn Pignon
Merab Chigoev
Meraj Muhammad Khan
Mercedes Pulido
Mere Broughton
Merritt Green
Merv Cowan
Merv Lincoln
Mic Gillette
Michael Atul D’Rozario
Michael Baldasaro
"Michael Beaumont, 22nd Seigneur of Sark"
"Michael Bowes-Lyon, 18th Earl of Strathmore and Kinghorne"
Michael Brick
Michael Brooks (basketball)
Michael Caborn-Waterfield
Michael Casswell
Michael Dann
Michael Earls-Davis
Michael Galeota
Michael Hanlon
Michael Healy (statistician)
Michael Herr
Michael Ibru
Michael J. Egan
Michael J. Elliott
Michael Jaharis
Michael Kulich
Michael Leader
Michael Manser
Michael MccGwire
Michael McCurdy
Michael Napier Brown
Michael Phillips (figure skater)
Michael Purcell
Michael Ratner
Michael Reichmann
Michael Roberds
Michael S. Longuet-Higgins
Michael Sheringham
Michael Shrimpton
Michael Walter (luger)
Michael White (producer)
Michal Hornstein
Michał Janiszewski
Michał Józefczyk
