name
S. R. Nathan
Sabam Siagian
Sabri Yirmibeşoğlu
Sagan Lewis
Sahabzada Yaqub Khan
Sai Prashanth
Said Zahari
Saji Paravoor
Sally Beauman
Sally Brampton
Sally Katary
Salman Natour
Salvador Q. Quizon
Sam Bawlf
Sam Beall
Sam Beaver King
Sam Hulbert
Sam Spence
Samane Viyaket
Samantha Schubert
Samid Imanov
Samir Roychoudhury
Sammy Ellis
Samuel L. Green Jr.
Samuel Mumbengegwi
Samuel Odulana Odungade I
Samuel Rappaport
Samuel Robin Spark
Samuel Willenberg
Sándor Csjef
Sándor Csoóri
Sándor Tarics
Sandy McDonald
Sandy Pearlman
Santiago J. Erevia
Sarah Corp
Sarah D. Grant
Sarah Tait
Sarath de Abrew
Sascha Lewandowski
Sasi Shanker
Saulius Sondeckis
Sayed Hussein Anwari
Sayed Zayan
Schalk van der Merwe
Scott Burgess (actor)
Scott Goodall
Scott Nimerfro
Scott Olin Wright
Scott Rains
Scotty Moore
Seamon Glass
Seamus Dunne
Seán Ardagh
Sean Rooks
Sebastian Papaiani
Sebastian Rahtz
Seiji Arikawa
Sel Belsham
Sengai Aaliyan
Șerban Iliescu
Serena Sinclair Lesley
Serge Kampf
Sergei Cortez
Sergei Simonov (ice hockey)
Sergey Malyutin (footballer)
Sergey Marchuk
Sergey Shustikov
Sergio Adolfo Govi
Sergio Arellano Stark
Sergio Ferrari
Sérgio Henrique Ferreira
Sergio Ricossa
Sergio Vacchi
Serigne Abdou Thiam
Seru Rabeni
Seth Cardew
Severino Santiapichi
Seymour Lazar
Shahid Qadri
Shahidul Islam Khokon
Shahram Amiri
Shakira Martin
Shamim Ara
Shankar Ghosh
Shankar Prasad Jaiswal
Shannon Bolin
Shaolin (humorist)
Sharon Douglas
Sharon Runner
Shawn Elliott
Shawty Lo
She'ar Yashuv Cohen
Sheikh Hussain Zakiri
Sheila Sim
Sheila Varian
Sheilla Lampkin
Shelby Westbrook
Shelley Moore
Sherron Mills
Shettima Ali Monguno
Shi Ping
Shigeji Kaneko
Shimon Peres
Shirley Fenton Huie
Shirley Hufstedler
Shirley Jaffe
Shirley Tonkin
Shōichi Fujimori
Shōichi Ueno
Shozo Awazu
Shuaibu Amodu
Shūgorō Nakazato
Shyamala Pappu
Sian Blake
Sibe Mardešić
Sid Applebaum
Sid Hurst
Sidney Brazier
Sidney Mear
Siegbert Horn
Sigbjørn Ravnåsen
Sigge Parling
Signe Toly Anderson
Sikiru Adesina
Silvana Pampanini
Silvano Piovanelli
Silvio Fogel
Simon Ramo
Siné
Albert McQuarrie
