id,name,article_length,versions,editors,inbound_links
0,Abe Vigoda,7169,1638,881,362
1,Alan Rickman,15798,3568,1866,1048
2,Alvin Toffler,14496,608,350,222
3,Anton Yelchin,7942,1359,729,340
4,Antonin Scalia,51504,4032,1650,2633
5,Arnold Palmer,17021,1891,848,1472
6,Bill Dooley,2584,148,80,171
7,Boutros Boutros-Ghali,8737,980,702,740
8,Brooks Thompson,1907,132,68,111
9,Buckwheat Zydeco,5781,151,111,122
10,Buddy Cianci,14184,799,387,156
11,C. B. Forgotston,6818,227,64,42
12,Caroline Aherne,8095,726,375,150
13,Cesare Maldini,12813,437,235,391
14,Chyna,23288,3211,1384,895
15,Conrad Burns,23532,1113,506,216
16,David Bowie,78425,11258,5017,7978
17,Dee Dowis,1913,72,53,24
18,Dennis Green,8793,867,455,480
19,Earl Hamner Jr.,3626,250,154,125
20,Edward Albee,5867,792,487,994
21,Frank Sinatra Jr.,7907,766,501,250
22,Garry Shandling,12290,1204,554,466
23,Gene Wilder,22553,2278,1320,650
24,George Curry (American football),969,28,17,27
25,George Voinovich,28926,1225,499,581
26,Gordie Howe,21099,1826,917,853
27,Guido Westerwelle,21348,834,482,385
28,Hagan Beggs,834,4,2,14
29,Harper Lee,19941,4180,1924,833
30,Helen Delich Bentley,5188,245,115,189
31,Imre Kertész,6024,500,258,561
32,Islam Karimov,23517,1593,762,493
33,James M. Nederlander,2255,28,15,15
34,João Havelange,15274,419,224,254
35,Joe Garagiola Sr.,11022,566,279,714
36,Johan Cruyff,97188,3045,1262,1266
37,John Saunders (journalist),2484,433,246,498
38,Keith Emerson,39069,1591,541,584
39,Kenny Baker (English actor),3612,616,430,145
40,Kimbo Slice,14358,4178,1919,383
41,Lawrence Phillips,14968,690,393,295
42,Lev Nikolayevich Korolyov,2238,39,26,24
43,Lou Michaels,845,68,42,187
44,Marion Christopher Barry,7558,131,33,20
45,Merle Haggard,41006,1956,898,1752
46,Michael Cimino,27440,922,477,434
47,Michael S. Harper,3214,106,57,56
48,Miss Cleo,4178,929,513,175
49,Morley Safer,11338,508,280,240
50,Mother Angelica,17031,1065,472,120
51,Nancy Reagan,48864,3612,1322,1326
52,Nimr al-Nimr,15915,586,255,388
53,Pat Conroy,11121,558,290,210
54,Pat Summitt,28660,1627,716,937
55,Patty Duke,13202,1323,639,702
56,Phife Dawg,3381,496,292,166
57,Phyllis Schlafly,19638,1908,848,530
58,Prince (musician),58148,10035,4166,5467
59,Ralph David Abernathy III,564,13,10,8
60,Rob Ford,21468,3173,1044,682
61,Rudy Van Gelder,7719,278,136,361
62,Seymour Papert,6506,514,296,183
63,Terry Wogan,19983,3030,1491,984
64,Solomon W. Golomb,4199,193,121,534
65,Susannah Mushatt Jones,4163,765,308,123
66,Ted Marchibroda,2873,281,148,488
67,The Lady Chablis,2067,259,155,56
68,Tim LaHaye,14107,855,479,294
69,Umberto Eco,14585,1230,780,1280
70,Wesley A. Clark,5722,126,70,42
71,William Schallert,7237,549,298,252
72,Willie L. Williams,3774,113,74,55
73,A V. Christie,1516,25,16,12
74,A. A. Raiba,17633,84,49,14
75,A. C. Jose,1176,71,41,24
76,A. C. Tirulokchandar,2522,139,59,135
77,A. F. M. Rezaul Karim Siddique,1838,1,1,10
78,A. Gordon Wetmore,887,13,12,13
79,A. K. N. Ahmed,279,17,11,19
80,A. R. Surendran,1118,10,2,6
81,Aar de Goede,1918,10,7,16
82,Aarne Honkavaara,1283,128,51,30
83,Aaron W. Plyler,543,20,12,6
84,Abbas Bahri,1455,53,22,15
85,Abbas Kiarostami,41662,2045,473,896
86,Abbas Vaez-Tabasi,2051,119,59,36
87,Abd al-Rahman Fakhri,1104,22,16,57
88,Abdel-Bari Zamzami,5894,26,21,11
89,Abderrahmane Meziani,1188,18,10,14
90,Abdul Baqi Jammoh,626,9,5,5
91,Abdul Jeelani,1881,54,33,27
92,Abdul Rahman Al-Hanaqtah,420,2,2,5
93,Abdul Rashid Khan,1895,97,60,222
94,Abdul Sattar Edhi,7906,1145,536,138
95,Abdullah Ahmad,1014,44,30,21
96,Abe Goldberg,2995,33,26,8
97,Abe Segal,1005,58,36,76
98,Abel Dhaira,736,61,37,12
99,Abel Fernandez,2319,119,66,26
100,Abner J. Mikva,9034,253,145,168
101,Abolhassan Najafi,1068,42,30,15
102,Aboud Jumbe,1148,75,42,41
103,Abram Cohen,281,28,11,11
104,Abu Ali al-Anbari,7296,144,72,305
105,Abu Firas al-Suri,2253,62,29,16
106,Abu Layla,3495,52,22,15
107,Abu Mohammad al-Adnani,7307,349,159,315
108,Abu Omar al-Shishani,11028,612,221,323
109,Abu Waheeb,2215,221,94,261
110,Abu Wardah,4066,57,25,19
111,Achille Casanova,1953,47,25,19
112,Achim Mentzel,750,6,6,6
113,Achyut Lahkar,590,26,14,5
114,Adam Bielański,604,54,31,11
115,Adam Dziewonski,2754,61,36,28
116,Adam Kelly Ward,1992,25,11,12
117,Ádám Rajhona,149,2,2,11
118,Adam Small (writer),1253,58,35,39
119,Adam Żurowski,249,23,12,6
120,Adán Nigaglioni Loyola,515,18,7,7
121,Addepalli Ramamohana Rao,283,5,4,3
122,Adelina Dematti de Alaye,1519,5,5,4
123,Adelmar Faria Coimbra-Filho,622,8,7,18
124,Adi Sasono,548,2,2,2
125,Adlan Varayev,602,55,20,26
126,Adnan Abu Hassan,1483,69,41,23
127,Adolf Born,1355,94,64,46
128,Adolph Cornelis van Bruggen,13125,53,24,87
129,"Adrian Berry, 4th Viscount Camrose",1550,80,55,30
130,Adrian Enescu,589,70,45,18
131,Adrian Flowers,1142,39,8,13
132,Adrian Greenwood,6417,79,25,25
133,Adrian Hardiman,4677,216,83,48
134,Adrian Monger,221,34,23,11
135,Adriana Benetti,1814,67,34,35
136,Adriana Innocenti,776,12,7,16
137,Adrienne Corri,8213,308,145,101
138,Aduke Alakija,1934,5,5,8
139,Afeni Shakur,1763,716,475,251
140,Aftab Ghulam Nabi Kazi,6578,172,69,65
141,Agapito Robleda Castro,1405,6,5,2
142,Agata Karczmarek,576,58,36,35
143,Agha Nasir,1661,27,8,160
144,Agha Saleem,507,17,11,4
145,Agnes Nixon,7374,513,194,357
146,Agniva Lahiri,3359,52,24,5
147,Agostino Coletto,84,6,6,13
148,Aharon Ipalé,2349,31,11,23
149,Aharon Megged,1510,64,52,27
150,Ahmed Baba Miské,2923,45,30,11
151,Ahmed Brahim (Tunisian politician),1094,53,28,23
152,Ahmed Refai Taha,2911,59,30,19
153,Ahmed Zewail,6050,985,571,529
154,Akbar Ali,796,44,27,16
155,Akbar Kakkattil,4962,101,42,339
156,Akhlaqur Rahman Kidwai,2248,139,62,631
157,Akhtar Mansour,16504,573,153,114
158,Akira Tago,811,38,29,8
159,Al Ferrari,746,36,25,17
160,Al Hart,564,7,6,5
161,Al Howie,15903,79,39,21
162,Al Libous,3053,8,6,5
163,Al Wistert,5623,236,88,301
164,Alain Decaux,146,58,47,60
165,Alan Bates (politician),808,76,43,72
166,Alan Brice,153,16,13,9
167,Alan Carter (civil servant),2501,13,5,3
168,Alan Cousin,1892,35,13,51
169,Alan Cuthbert,470,36,20,26
170,Alan Dossor,708,33,15,10
171,Alan Goldberg (judge),179,26,11,9
172,Alan Haven,1514,29,23,16
173,Alan Henry,830,91,62,214
174,Alan Hurd,551,12,6,11
175,Alan Lewis (footballer),316,4,2,8
176,Alan Loveday,399,4,3,23
177,Alan Rathbone,1393,42,17,17
178,"Alan Smith (footballer, born 1939)",268,21,14,14
179,Alan Spavin,405,59,33,64
180,Alan Vega,6508,459,199,181
181,Alan Young,6426,707,398,264
182,Alastair Biggar,451,59,28,52
183,Alastair Duncan (army officer),1981,41,5,4
184,Alavi Moulana,2559,47,28,121
185,Alba Solís,319,26,15,13
186,Albert Filozov,168,46,25,20
187,Albert Gubay,4193,116,74,23
188,Albert Hofstede,1836,54,29,29
189,Albert M. Sackett,190,15,8,6
190,Albert Nicholas (CEO),2051,39,9,13
191,Albert Onyembo Lomandjo,262,3,3,3
192,"Albert Rhoton, Jr",3365,80,19,10
193,Alberto Iniesta Jiménez,425,23,16,4
194,Alberto Remedios,2530,95,54,30
195,Alcibíades Colón,3419,4,3,7
196,Alcindo,716,52,38,45
197,Aldo Bufi Landi,136,44,17,70
198,Aldo Ferrer,6348,43,34,24
199,Aldo Monti,266,21,14,27
200,Aldo Ralli,570,3,2,11
201,Alejandro Jano Fuentes,805,21,5,11
202,Alejandro Muñoz-Alonso,569,3,3,6
203,Aleksei Zharkov,1161,12,8,12
204,Aleš Debeljak,3759,104,69,136
205,Alessandro Ghinami,491,6,5,7
206,Alethea McGrath,798,138,74,47
207,Alex de Jesús,5508,112,62,27
208,Alex Govan,5554,42,24,73
209,Alex Hickman,1262,62,46,37
210,Alex Tamba Brima,1791,56,22,20
211,Alex Timpson,455,10,4,10
212,Alexander Esenin-Volpin,7158,167,87,262
213,Alexander Gorlov,2529,38,29,13
214,Alexander Gutman,509,54,39,16
215,Alexander Kanengoni,252,31,23,9
216,Alexander Litaay,661,5,4,2
217,Alexander O. Shirley,2574,5,5,6
218,Alexander Prokhorenko,3651,74,30,28
219,Alexandre Astruc,496,86,63,129
220,Alexandre Reza,3312,40,27,8
221,Alexandru Lăpușan,305,12,5,17
222,Alexandru Vulpe,1014,9,5,18
223,Alexis Arquette,4128,1357,718,179
224,Alexis Navarro,1739,6,2,6
225,Alfons Van den Brande,192,7,3,10
226,Alfonso Portugal,406,28,18,41
227,Alfred E. Mann,5430,212,127,41
228,Alfred E. Senn,1042,29,23,65
229,Alfred G. Knudson,3175,89,52,42
230,Alfred Oftedal Telhaug,917,10,8,6
231,"Alfredo ""Chocolate"" Armenteros",1386,94,46,38
232,Alfredo Bowman,3289,39,14,9
233,Alfredo Peña,2651,63,35,31
234,Alfredo Sabbadin,147,4,2,18
235,Ali Ahmed Hussain Khan,1417,31,23,21
236,Ali Baba (Sindhi writer),1908,41,21,4
237,Ali Beratlıgil,248,25,19,39
238,Ali Brownlee,2109,33,16,21
239,Ali Javan,5361,512,222,104
240,Ali Lazrak,301,3,2,7
241,Alice Arlen,1593,25,12,39
242,Alice Pollitt,2669,50,20,34
243,Alina Surmacka Szczesniak,1659,58,36,15
244,Alirio Díaz,4957,168,79,73
245,Alisa Bellettini,6825,3,3,11
246,Alison Piepmeier,2896,73,27,19
247,Allan Barnes,3397,56,33,24
248,Allan Greenshields,480,27,17,23
249,Allan L. McCutcheon,1567,24,10,6
250,Allan Michaelsen,197,43,32,111
251,Allan Paivio,5951,56,36,41
252,Allan Rocher,1831,60,38,57
253,Allen K. Ono,387,20,10,11
254,Allen Kelley,360,48,22,52
255,Allister Sparks,2747,76,50,33
256,Alphie McCourt,434,29,18,10
257,Alphons Egli,481,61,42,131
258,Alphonse Liguori Chaupa,325,5,2,4
259,Alphonsus F. D'Souza,1957,16,9,5
260,Alton Brown (baseball),2125,37,22,18
261,Álvaro Pérez Intriago,1603,13,4,48
262,Álvaro Pérez Treviño,222,32,22,15
263,Alvera Mickelsen,3865,9,4,13
264,Alvin Endt,591,9,2,4
265,Alvin J. DeGrow,1210,7,5,5
266,Alvin Lubis,830,46,26,10
267,Alvise Zorzi,712,20,14,14
268,Alwin Albert Hafner,219,3,2,3
269,Alyson Bailes,4130,92,56,31
270,Amal Dutta,2397,61,39,36
271,Amanullah Khan (JKLF),9737,79,48,72
272,Amar Suloev,2944,175,104,48
273,Amaury Epaminondas,244,11,11,65
274,Amber Gurung,5676,145,79,34
275,Amber Rayne,1692,325,154,54
276,Ambrose Hickey,794,5,4,19
277,Amby Fogarty,1056,69,45,67
278,"Ameli, Duchess of Oldenburg",1170,51,33,34
279,Amelia Bence,30806,342,79,296
280,Amjad Sabri,2122,194,74,38
281,Amnon Linn,1508,48,26,21
282,Ana Vieira,73,11,8,5
283,Anahid Ajemian,4333,106,60,30
284,Ananda Chandra Dutta,605,67,30,19
285,Anatol Ciobanu,739,25,17,13
286,Anatol Dumitraș,80,5,3,4
287,Anatoli Grishin,425,41,28,136
288,Anatoli Ilyin,610,59,43,134
289,Anatoli Isayev,420,34,26,81
290,Anatoliy Kutsev,340,49,33,27
291,Anatoliy Polishchuk,325,34,26,17
292,Anatoly Roshchin,1607,28,23,24
293,Anatoly Savin,1823,19,12,6
294,Anđelko Klobučar,499,37,20,73
295,Andi Muhammad Ghalib,1935,4,4,6
296,András Hajnal,1925,107,36,69
297,András Prékopa,2373,85,31,19
298,André Adam,1702,49,23,13
299,André Bénard,912,19,7,6
300,André Boerstra,457,34,27,16
301,André Brahic,1790,37,18,20
302,André Courrèges,4117,159,114,81
303,André Dehertoghe,209,10,8,8
304,Andre Gambucci,326,1,1,10
305,André Guelfi,392,68,41,38
306,Andre Hajdu,2183,120,61,31
307,André Isoir,2343,57,39,40
308,André Mayamba Mabuti Kathongo,260,3,2,3
309,André Rousselet,299,13,6,4
310,André Turcat,2343,82,59,31
311,André van den Heuvel,152,7,5,12
312,André Villers,2890,34,26,9
313,André Warusfel,1537,47,17,8
314,Andrea Maria Erba,259,11,7,5
315,Andreas Barkoulis,389,31,16,8
316,Andreas Henrisusanta,651,10,6,4
317,Andreas Peter Cornelius Sol,842,56,41,10
318,Andrés Hernández Ros,2632,8,5,4
319,Andres Rodriguez (show jumper),3391,82,24,23
320,Andrew Florent,393,48,32,292
321,Andrew Glaze,7948,719,66,17
322,Andrew Gotianun,1440,79,42,14
323,Andrew Grove,16415,657,363,279
324,Andrew Herxheimer,5444,71,9,6
325,Andrew Hintz,627,3,3,7
326,Andrew L. Lewis Jr.,5687,152,100,153
327,Andrew Smith (basketball),16694,107,36,36
328,Andries Kinsbergen,605,52,31,17
329,Andrzej Grabarczyk,32,7,6,7
330,Andrzej Kondratiuk,766,21,14,15
331,Andrzej Kotkowski,156,16,7,14
332,Andrzej Niemczyk,230,12,10,100
333,Andrzej Szymczak,466,38,22,16
334,Andrzej Tarkowski,4636,51,37,19
335,Andrzej Żuławski,2557,254,156,176
336,Andy Bathgate,6550,334,162,184
337,Andy Dog Johnson,1207,122,46,23
338,Andy Ganteaume,6151,119,51,67
339,Andy Maurer,673,51,33,36
340,Andy Thompson,39,2,1,10
341,Ángel de Andrés López,225,15,7,22
342,Angel Gabriele,5517,69,39,21
343,Angel Gelmi Bertocchi,266,8,5,3
344,Angela Flanders,429,11,5,7
345,Angela Goodwin,1165,48,24,38
346,Angela Paton,1082,42,25,27
347,Angela Raiola,4689,160,84,26
348,Angelika Schrobsdorff,1540,46,31,9
349,Angus Ross,566,50,37,15
350,Angus Scrimm,1017,240,168,93
351,Aníbal Alzate,191,20,15,37
352,Aníbal José Chávez Frías,842,70,37,15
353,Anil Ganguly,1713,50,21,71
354,Anil Salgaocar,619,13,7,6
355,Anisa Makhlouf,2595,19,10,12
356,Anita Brookner,2137,208,134,149
357,Anita Reeves,2570,66,7,15
358,Anjan Dutta,4582,1,1,19
359,Anker Jørgensen,6479,252,134,241
360,Ann Atwater,11484,88,41,16
361,Ann Cartwright DeCouto,3367,4,3,6
362,Ann Day,934,25,12,11
363,Ann Emery,2192,64,43,14
364,Ann Morgan Guilbert,1776,298,164,79
365,Ann Smyrner,643,60,35,42
366,Ann Z. Caracristi,768,52,35,37
367,Anna Dewdney,4020,101,42,18
368,Anna Kurska,881,46,24,15
369,Anna Lærkesen,4916,23,16,9
370,Anna Synodinou,661,55,28,16
371,Anna-Leena Siikala,1160,8,5,7
372,Annastasia Batikis,2599,56,37,21
373,Anne Aasheim,870,20,17,14
374,Anne Atai Omoruto,1248,30,15,4
375,Anne Balfour-Fraser,1204,6,4,6
376,Anne Gould Hauberg,2494,48,31,15
377,Anne Grommerch,500,51,31,19
378,Anne Jackson,2362,240,112,131
379,Anne O'Brien (footballer),3142,42,16,8
380,Queen Anne of Romania,11573,648,284,148
381,Anne van den Ban,4339,70,25,6
382,Anne-Marie Nzié,1137,26,20,29
383,Annet Nieuwenhuyzen,826,9,4,12
384,Annie Castledine,4596,361,29,20
385,Annie Pootoogook,3550,92,46,30
386,Anselmo López (musician),564,49,34,13
387,Antanas Janauskas,311,20,15,10
388,Anthony Bird,2683,53,4,5
389,Anthony Carrigan,2821,42,12,12
390,Anthony D. Smith,4400,140,93,70
391,Anthony Keane,154,13,8,6
392,Anthony Mellows,1653,74,13,10
393,Anthony Simmons (writer),2052,72,47,35
394,Anthony Xu Ji-wei,500,5,3,3
395,Antoine Demoitié,412,45,28,36
396,Anton Barten,1141,13,8,9
397,Anton Muheim,474,1,1,2
398,Anton Pronk,1345,20,16,19
399,Anton Srholec,223,15,8,9
400,Antonella Steni,874,14,3,24
401,Antoni Asunción,2973,12,4,19
402,Antonia Churchill,377,22,13,11
403,Antonín Rükl,1025,49,39,1490
404,Antonina Seredina,445,49,28,141
405,Antonino Fernández Rodríguez,2916,36,17,7
406,Antonio Armstrong,2220,110,70,27
407,António Barbosa de Melo,1206,34,24,24
408,Antonio Cabangon Chua,2336,105,49,21
409,Antonio Carrizo,4730,20,12,13
410,Antonio Castellanos Mata,3023,60,15,11
411,António de Almeida Santos,1962,71,50,36
412,Antônio Eliseu Zuqueto,246,6,4,5
413,Antonio Imbert Barrera,4204,164,95,46
414,António Mascarenhas Monteiro,3173,120,81,73
415,Antonio Nuzzi,321,2,1,3
416,Antônio Pompêo,454,7,6,9
417,Antonio Soto Díaz,4483,40,18,12
418,Antony Copley,758,17,6,11
419,Antony Emerson,1582,16,6,29
420,Antony Gibbs,3213,72,34,66
421,Antti Hyry,373,25,18,16
422,Anwar Ali Cheema,1876,115,50,16
423,Aquilino Bonfanti,200,22,17,7
424,Archie Dees,969,45,24,66
425,Archie Gouldie,4044,171,93,105
426,Archie Lang (actor),1464,21,8,11
427,Ardhendu Bhushan Bardhan,3147,171,104,51
428,Arie Smit,4219,90,42,25
429,Arif Beg,446,60,40,21
430,Ariffin Mohammed,4840,63,42,28
431,Aristide von Bienefeldt,2408,151,49,11
432,Arkangelo Bari Wanji,674,5,4,5
433,Arman Manaryan,401,31,24,6
434,Armando León Bejarano,1840,9,5,10
435,Armando Loaiza,198,25,19,11
436,Arne Melchior,1077,47,33,13
437,Arne Sandnes,28,2,2,2
438,Arnold Weiberg-Aurdal,1868,20,13,11
439,Arnulfo Mejía Rojas,2719,19,8,4
440,Arquimínio Rodrigues da Costa,712,21,10,8
441,Art Demmas,1437,47,27,30
442,Arthur Anderson (actor),2428,121,68,51
443,Arthur Hiller,12741,419,201,400
444,Arthur J. Aasland,562,1,1,4
445,Arthur Keily,4517,34,19,136
446,Arthur Provis,1829,28,14,19
447,Arthur S. Obermayer,1467,29,9,11
